City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,karakol,42.4907,78.3936,290.92,48,72,1.67,KG,1690225535
353,rawson,-43.3002,-65.1023,281.32,59,100,11.37,AR,1690225535
354,malvan,16.0667,73.4667,299.69,85,100,8.44,IN,1690225535
355,ilek,51.5271,53.3831,292.82,64,100,3.15,RU,1690225535
356,walvis bay,-22.9575,14.5053,285.68,82,86,2.06,NA,1690225536
357,mount pearl,47.5166,-52.7813,297.84,83,75,8.23,CA,1690225536
358,lilongwe,-13.9669,33.7873,292.76,47,0,1.43,MW,1690225536
359,sengiley,53.9622,48.7944,292.19,75,99,1.88,RU,1690225537
360,yeed,4.55,43.0333,301.06,47,32,9.88,SO,1690225537
361,dijkot,31.2167,72.9833,305.63,61,96,1.68,PK,1690225537
362,mili,6.0815,171.735,301.06,79,97,6.05,MH,1690225087
